time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/loss,rollout/success_rate,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
,,,130000,630,-1.395720374584198,0.049560546875,0.007953728,13.490570449829102,,0.4799821972846985,0.2,0.0003,,4.8571600914001465,,-0.005249683323199861,7.435244,575.5,0.1
3191,41,64,131072,,,,,,475.9,,,,32.49751792000001,,0.56,,,,
3210,41,65,133120,640,-1.3518118634819984,0.03466796875,0.005057862,12.240727311372757,472.97,0.5738368034362793,0.2,0.0003,32.484267759999994,3.382106065750122,0.56,-0.0061022888054139916,,,
3228,41,66,135168,650,-1.4231442749500274,0.0845703125,0.011405448,10.653030014038086,474.44,0.5812573432922363,0.2,0.0003,31.930293820000003,5.727006435394287,0.55,-0.007899545331019909,,,
3247,42,67,137216,660,-1.4398949816823006,0.041357421875,0.007038517,8.437911969423293,469.54,0.5499690175056458,0.2,0.0003,33.019475729999996,4.445838451385498,0.57,-0.004651970264967531,,,
3264,42,68,139264,670,-1.2921575784683228,0.035888671875,0.0062872046,15.01020981669426,456.38,0.6096104979515076,0.2,0.0003,34.67716448,8.792677879333496,0.6,-0.006421251897700131,,,
,,,140000,680,-1.3857398927211761,0.043359375,0.0064500384,22.197199821472168,,0.5617663860321045,0.2,0.0003,,9.613373756408691,,-0.006845669029280544,17.3225878,482.8,0.3
3208,44,69,141312,,,,,,453.65,,,,34.7533339,,0.6,,,,
3226,44,70,143360,690,-1.3357958525419236,0.069482421875,0.008381294,7.2073412358760836,455.96,0.7726766467094421,0.2,0.0003,34.73125427,2.1898446083068848,0.6,-0.0078108995163347576,,,
3243,44,71,145408,700,-1.3917800694704057,0.08046875,0.0089190025,19.02983875274658,459.3,0.458795964717865,0.2,0.0003,33.65744877,10.725765228271484,0.58,-0.008541899448027834,,,
3260,45,72,147456,710,-1.4011252373456955,0.07177734375,0.009469634,1.554227416217327,456.58,0.5879517793655396,0.2,0.0003,34.18191061,0.5068002343177795,0.59,-0.008660153948585502,,,
3276,45,73,149504,720,-1.351911260187626,0.043701171875,0.0061184717,14.976445162296296,455.82,0.5938324332237244,0.2,0.0003,35.27089995000001,5.954004764556885,0.61,-0.005108871887205169,,,
,,,150000,730,-1.3990064844489098,0.04716796875,0.0064077517,17.342084354162218,,0.4443747401237488,0.2,0.0003,,7.163604259490967,,-0.0061894362326711415,10.634195800000002,516.9,0.2
3213,47,74,151552,,,,,,463.49,,,,34.691547050000004,,0.6,,,,
3229,47,75,153600,740,-1.4336366817355155,0.01103515625,0.0038348543,23.473626685142516,468.07,0.4197116494178772,0.2,0.0003,33.103334710000006,8.603741645812988,0.57,-0.004552851506741717,,,
3245,47,76,155648,750,-1.4403711572289466,0.0365234375,0.0061331987,9.161721363663673,471.05,0.45120733976364136,0.2,0.0003,33.09998723,3.391523838043213,0.57,-0.00432254071929492,,,
3261,48,77,157696,760,-1.4135130017995834,0.0392578125,0.0055969157,11.853953355550766,472.2,0.6168522238731384,0.2,0.0003,33.0694288,8.10493278503418,0.57,-0.006156713847303763,,,
3276,48,78,159744,770,-1.4332196354866027,0.06884765625,0.010275819,15.027978080511094,463.38,0.500632643699646,0.2,0.0003,34.11333362,7.502647876739502,0.59,-0.009470924502238631,,,
,,,160000,780,-1.3938915938138963,0.068994140625,0.00864943,21.042789030075074,,0.4254652261734009,0.2,0.0003,,10.628159523010254,,-0.009480811303365044,10.931842600000001,552.5,0.2
3217,50,79,161792,,,,,,461.45,,,,34.13449846,,0.59,,,,
